param_value,Total Return (%),Ann. Return (%),Ann. Volatility (%),Sharpe Ratio,Max Drawdown (%),Calmar Ratio,Trading Days
0.5,-29.48,-1.61,32.3,-0.05,-81.63,-0.02,1239
1.0,-28.51,-1.48,31.87,-0.047,-81.5,-0.018,1238
2.0,-25.42,-1.13,30.51,-0.037,-81.16,-0.014,1245
3.5,-1.72,3.8,28.39,0.131,-75.27,0.05,1234
