param_value,Total Return (%),Ann. Return (%),Ann. Volatility (%),Sharpe Ratio,Max Drawdown (%),Calmar Ratio,Trading Days
5,-32.38,-2.54,31.98,-0.08,-82.36,-0.031,1241
10,-32.57,-2.62,31.9,-0.083,-82.55,-0.032,1242
20,-28.51,-1.48,31.87,-0.047,-81.5,-0.018,1238
40,-26.78,-0.99,31.9,-0.031,-81.27,-0.012,1239
60,-27.47,-1.19,31.88,-0.038,-81.31,-0.015,1229
